"","employers.id","employers.name","employers.website","employers.isEEP","employers.exactMatch","employers.industry","employers.numberOfRatings","employers.squareLogo","employers.overallRating","employers.ratingDescription","employers.cultureAndValuesRating","employers.seniorLeadershipRating","employers.compensationAndBenefitsRating","employers.careerOpportunitiesRating","employers.workLifeBalanceRating","employers.recommendToFriendRating","employers.featuredReview.id","employers.featuredReview.currentJob","employers.featuredReview.reviewDateTime","employers.featuredReview.jobTitle","employers.featuredReview.location","employers.featuredReview.jobTitleFromDb","employers.featuredReview.headline","employers.featuredReview.pros","employers.featuredReview.cons","employers.featuredReview.overall","employers.featuredReview.overallNumeric","employers.ceo.name","employers.ceo.title","employers.ceo.numberOfRatings","employers.ceo.pctApprove","employers.ceo.pctDisapprove"
"11",108071,"FINRA","www.finra.org",FALSE,FALSE,"Investment Banking & Asset Management",188,"https://media.glassdoor.com/sqll/108071/finra-squarelogo.png",3.2,"OK","3.1","2.7","3.5","2.5","4.0","0.5",5905041,TRUE,"2015-02-12 09:43:47.263","Analyst","New York, NY","Analyst","Overall good","Great work life balance, and they help you develop the skills necessary to be experienced in the market and move laterally.","Boring work, does not really let you get a chance to take on different roles you are very pigeon holed in the position and it can be drudging.",4,4,"Richard G. Ketchum","Chairman & CEO",92,85,15
"12",298175,"OpenLink Financial","www.olf.com",FALSE,FALSE,"Enterprise Software & Network Solutions",108,"https://media.glassdoor.com/sqll/298175/openlink-financial-squarelogo.png",2.1,"Dissatisfied","2.0","1.7","2.4","2.0","2.7","0.3",3863942,TRUE,"2014-03-13 08:29:57.517","Release Analyst","Uniondale, NY","Release Analyst","Company has great future potential.","OpenLink has great future potential and lofty goals for expansion and success.  A lot of great ideas in the works from new management.","The better you are at your job, the more likely you are to be pigeon-holed into that role for your tenure at OpenLink.  In past management has not open to internal movement (turning around with new management)",3,3,"Dr. Mark N. Greene","President & CEO",47,33,67
"13",13640,"Citizens Bank","www.cfgcareers.com",TRUE,FALSE,"Investment Banking & Asset Management",472,"https://media.glassdoor.com/sqll/13640/citizens-financial-group-squarelogo.png",2.5,"OK","2.5","2.3","2.9","2.6","2.8","0.3",6013748,FALSE,"2015-02-27 15:50:37.723","Banker","New York, NY","Banker","Good overall","Great Incentives, hours, co workers, pay, branch","Growth, management, locations, breaks, atm",5,5,"Bruce Van Saun","CEO",90,51,49
"14",3358,"Royal Bank of Canada","www.rbc.com",FALSE,FALSE,"Banks & Credit Unions",576,"https://media.glassdoor.com/sqll/3358/rbc-financial-group-squarelogo.png",3.6,"Satisfied","3.3","2.8","3.3","2.7","3.4","0.7",5919723,TRUE,"2015-02-14 18:47:59.81","Financial Analyst","New York, NY","Financial Analyst","RBC is a very professional, well run company.","Laid back atmosphere, great location in downtown Manhattan.","Sometimes deadlines can be stressful.",5,5,"Gordon M. Nixon","President and Chief Executive Officer",326,89,11
"15",8380,"Zurich North America","www.zurichna.com",FALSE,FALSE,"Insurance Carriers",257,"https://media.glassdoor.com/sqll/8380/zurich-financial-services-squarelogo.png",3.5,"Satisfied","3.4","3.1","3.6","3.3","3.6","0.8",5647525,TRUE,"2015-01-07 07:24:58.883","Vice President","New York, NY","Vice President","Great place for rising professionals to learn and master the industry.","I worked for a company purchased by Zurich some years ago. The mentoring, opportunity to contribute and opportunity for advancement were as good or better than any I have seen anywhere. The hours were long, yes, and worth it. Highly recommended employer.","The professional atmosphere is competitive but fair. This is not a place for the simple-minded, the lazy or those who can't take constructive criticism.",4,4,"Martin Senn","CEO",101,80,20
"16",2944,"Prudential","www.prudential.com",TRUE,FALSE,"Insurance Carriers",735,"https://media.glassdoor.com/sqll/2944/prudential-squarelogo.png",3.4,"OK","3.4","3.1","3.4","3.2","3.6","0.6",5864284,FALSE,"2015-02-06 10:36:10.77","Compliance Analyst","New York, NY","Compliance Analyst","compliance associate","great benefits, awesome team and growth opportunities.  perks like free museums visit, lunch ons. etd","great company overall. good work life balance",5,5,"John R. Strangfeld","Chairman and CEO",385,86,14
"17",242413,"Astoria Financial","www.astoriabank.com",FALSE,FALSE,"Investment Banking & Asset Management",47,"https://media.glassdoor.com/sqll/242413/astoria-federal-savings-squarelogo-1389131555817.png",2.7,"OK","3.0","2.8","2.1","2.7","3.6","0.5",5533957,FALSE,"2014-12-13 12:15:34.197","Teller","Whitestone, NY","Teller","""Thank You For Banking With Us""","Entering the position as Teller I quickly learned the requirements of a professional business environment. The staffing is cool and everyone seems to be friendly. Everyone understand that a job needs to be done on a daily basis.","You job is basically in the hands of customers who enter the bank as you are mystery shopped every quarter. If a customer just so happens not to like you their score can be based on their perception of you as a person rather than your customer service. At times it is difficult to build a relationship with customers due to the fact you must follow a certain pitch and procedure that is required with every interaction with a client. The opportunity to move up depends on who you know, sucking up, and your working abilities.",3,3,NA,NA,NA,NA,NA
"18",4314,"The Hartford","www.thehartford.com",TRUE,FALSE,"Insurance Carriers",732,"https://media.glassdoor.com/sqll/4314/the-hartford-squarelogo.png",3.2,"OK","3.3","2.9","3.4","3.0","3.3","0.6",5497877,TRUE,"2014-12-07 19:17:18.057","Auto Damage Appraiser","New York, NY","Auto Damage Appraiser","Constant  changing company","Paid time off and work flexibility","Constantly changing enviorment  wish it would be same",4,4,"Christopher Swift","CEO",75,82,18
"19",240745,"SunGard Financial Systems","financialsystems.sungard.com",FALSE,FALSE,"Computer Hardware & Software",229,"https://media.glassdoor.com/sqll/240745/sungard-financial-systems-squarelogo.png",3.1,"OK","2.6","2.5","3.3","2.6","3.5","0.5",4814687,FALSE,"2014-08-20 09:59:55.51","Product Manager","New York, NY","Product Manager","Large, sales-oriented company that tries hard to empower employees at every level of the organisation.","Management trusts you to get the job done; you're not micromanaged. They will invest in you to ensure you have the skills you need to be successful. A lot of employees can work from home. Opportunities to move within the organization and a wide range of products & geographies to work with.","Very sales-focused; you will need to spend time in sales if you want to make it to the top. Not great at orientation: you're sort of thrown in at the deep end. Private equity owners have held the company long enough and will not suffer any tax penalty to sell it...which they're focused on doing. A lot of cost-cutting and nickel & dime'ing going on.",4,4,"Russ Fradin","President & CEO",86,58,42
"20",240581,"John Thomas Financial","www.johnthomasfinancial.com",FALSE,FALSE,"Investment Banking & Asset Management",32,"https://media.glassdoor.com/sqll/240581/john-thomas-financial-squarelogo.png",2.7,"OK","2.2","2.8","2.3","2.9","1.9","0.4",3238996,FALSE,"2013-10-28 07:13:06.863","Senior Broker","New York, NY","Senior Broker","Indifferent","Great Training Program and way to obtain licenses","Hard to leave.
Apply fear in Employees to stay and work.",3,3,"Thomas Belesis","Founder & CEO",12,59,41
"21",42320,"Mizuho Bank","www.mizuhobank.com",TRUE,FALSE,"Investment Banking & Asset Management",90,"https://media.glassdoor.com/sqll/42320/mizuho-corporate-bank-squarelogo-1376418772676.png",3,"OK","3.4","2.9","3.7","2.9","3.3","0.6",5123959,FALSE,"2014-10-08 11:31:18.223","Administrative Assistant","New York, NY","Administrative Assistant","provided as requested","HR connection
looking for life time employment
benefit","wage is negotiable
security
range in wide connection with company",4,4,"Yasuhiro Sato","President and CEO",24,54,46
"22",7595,"First Niagara Financial","www.firstniagara.com",FALSE,FALSE,"Banks & Credit Unions",54,"https://media.glassdoor.com/sqll/7595/first-niagara-financial-squarelogo.png",2.6,"OK","2.9","2.4","3.0","2.7","3.6","0.5",5891246,TRUE,"2015-02-10 14:21:32.553","Customer Service Representative","Clifton Park, NY","Customer Service Representative","Not too bad.","can move up quickly, pto, I was lucky and had 2 great managers who are/were understanding and have guided and supported me to get several promotions.","a lot of pressure from management to meet sales goals, management changes frequently, not so great pay, horrible and expensive health plans, inconsistency in rules/regulations.",3,3,"John R. Koelmel","President, CEO, and Director",23,27,73
"23",15316,"Ameriprise","www.ameriprise.com",FALSE,FALSE,"Investment Banking & Asset Management",643,"https://media.glassdoor.com/sqll/15316/ameriprise-squarelogo.png",3.4,"OK","3.3","3.1","3.2","3.2","3.4","0.7",5602472,TRUE,"2014-12-29 10:41:28.667","Associate Financial Advisor","New York, NY","Associate Financial Advisor","Your Mileage May Vary Dependent on What Franchise You're In--Associate Financial Advisor","Every franchise is it's own little world, so some are wonderful and can help you grow, but some are a living nightmare.
If you land in one of the former, you can help each other to succeed and have your own practice, even as part of a team.  This allows for growth and flexibility.","There is really no supervision of franchises in terms of how they run their practice.   It appears that they don't care if an advisor abuses his associates or employees, so long as he makes money.  No accountability to stand behind promises to associates brought in.",4,4,"Jim Cracchiolo","Chairman & CEO",366,81,19
"24",376839,"GuardHill Financial","www.guardhill.com",FALSE,FALSE,"Lending",19,"https://media.glassdoor.com/sqll/376839/guardhill-financial-squarelogo-1423812095481.png",4.4,"Very Satisfied","4.6","4.4","4.0","4.3","4.1","0.8",4728453,TRUE,"2014-08-06 10:56:46.387","Intern","New York, NY","Intern","Learning the Mortgage Industry through my experiences at GuardHill Financial Corp.","The best part about working at GuardHill is undoubtedly working with the steller team that has been assembled over the course of time. The group of Loan Officers at this company are some of the best in the entire industry, coupled with a truly exceptional back office.","One must constantly be on their toes in an effort to keep up with changes in the market. There is a significant amount of content and knowledge that must be absorbed and retained in order to execute your specific job efficiently. It is a fast moving industry and one that is always changing.",5,5,"Alan Rosenbaum","President & CEO",12,93,7
"25",10343,"AXA","www.axa.be",FALSE,FALSE,"Insurance Carriers",185,"https://media.glassdoor.com/sqll/10343/axa-squarelogo.png",3.2,"OK","3.2","3.0","3.1","3.1","3.6","0.5",5415288,TRUE,"2014-11-20 14:11:05.5","Financial Advisor","New York, NY","Financial Advisor","AXA is a great company","Autonomy, great benefits, well managed, provides great products to people","You have to sell all the time",4,4,"Henri de Castries","Chairman of the Management Board and CEO",85,84,16
"26",307566,"Opal Financial Group","www.opalgroup.net",FALSE,FALSE,"Investment Banking & Asset Management",22,"https://media.glassdoor.com/sqll/307566/opal-financial-group-squarelogo-1398872302544.png",3.3,"OK","3.6","3.0","3.0","3.2","3.4","0.5",5643496,TRUE,"2015-01-06 15:24:55.317","Sales Representative","New York, NY","Sales Representative","A company with great potential for anyone willing to make sales.","I work with a great team.  They are very helpful and friendly.  We all get along very well and spend time together off business hours.  I've made a lot of great friends.  I hear rumors about some people being sharks on the sales floor, but haven't encountered any issues yet.","I sit right next to the heater and it gets extremely hot.  Have to open a window to help balance the temperature.  On colder days it's a little difficult to find happy medium.",5,5,"Abraham Wellington","Chief Executive Officer",10,61,39
"27",148558,"Globeop Financial Services","www.globeop.com",FALSE,FALSE,"Investment Banking & Asset Management",97,"https://media.glassdoor.com/sqll/148558/globeop-financial-services-squarelogo-1384446750882.png",3,"OK","1.3","1.5","1.6","1.6","1.7","0.1",3175284,FALSE,"2013-10-13 08:49:44.48","Manager","Harrison, NY","Manager","Agressive and technically adept.","Very good processes.  Lots of talented people.  Sound technology and understanding of its business and regulatory environment for itself and its clients.","Some internal technologies for employees lags behind what is pushed out to the clients, but help desk and IT support make the best of it.",3,3,"William Stone","Chairman & CEO",13,62,38
"28",40327,"QBE North America","www.qbena.com",FALSE,FALSE,"Insurance Carriers",136,"https://media.glassdoor.com/sqll/40327/qbe-squarelogo-1378964482802.png",2.3,"Dissatisfied","2.2","2.0","3.1","2.1","3.1","0.2",5589652,TRUE,"2014-12-25 15:02:13.273","Product Manager","New York, NY","Product Manager","Company is slowly being turnaround to become a viable part off global group","Fellow employees, work as a team","Changes are ongoing, need some finalization",3,3,"Dave Duclos","CEO",69,36,64
"29",7207,"GE Capital","www.gecapital.com",TRUE,FALSE,"Investment Banking & Asset Management",680,"https://media.glassdoor.com/sqll/7207/ge-capital-squarelogo-1414093255378.png",3.7,"Satisfied","3.9","3.4","3.5","3.6","3.7","0.8",4732501,FALSE,"2014-08-06 21:46:08.6","Assistant Vice President","New York, NY","Assistant Vice President","Excellent Company","Amazing career opportunities, fantastic leaders","Many layers of management, can be difficult to navigate at times",5,5,"Keith Sherin","CEO",113,91,9
"30",121,"CNA","www.cna.com",TRUE,FALSE,"Insurance Carriers",237,"https://media.glassdoor.com/sqll/121/cna-squarelogo.png",2.7,"OK","2.5","2.4","3.3","2.6","3.0","0.4",4945278,TRUE,"2014-09-10 16:34:11.193","Claims Operations Tech","New York, NY","Claims Operations Tech","Claims Operation Technician","very diverse and great work ethnics of employees","Not recognizing the talents of their employees",3,3,"Tom Motamed","Chairman and CEO",114,48,52
"31",6005,"E*TRADE Financial","www.etrade.com",FALSE,FALSE,"Brokerage Services",347,"https://media.glassdoor.com/sqll/6005/e-trade-financial-squarelogo.png",2.9,"OK","2.8","2.6","3.1","2.7","3.2","0.5",5110441,TRUE,"2014-10-06 16:23:18.51","Web Design","New York, NY","Web Design","Excellent eye-opener","The creative team is always on the know about current technology. The company has an awesome branding and style-guide to work with.","I could see somedays getting put-off by slow approval of proposed creative ideas.",4,4,"Paul T. Idzik","CEO",77,64,36
"32",3161,"Edward Jones","www.edwardjones.com",TRUE,FALSE,"Investment Banking & Asset Management",984,"https://media.glassdoor.com/sqll/3161/edward-jones-squarelogo.png",3.8,"Satisfied","4.2","3.6","3.4","3.7","3.6","0.7",3637144,FALSE,"2014-02-04 01:29:46.167","BOA Branch Office Administrator","New York, NY","BOA Branch Office Administrator","Opportunity to learn and work in financial business.","Develop different administrative and financial transaction skills, work in a small office.  Provide reasonable benefits to employees.","Work in a two person office, any assistance is gotten via calling home office or intranet.  You are essentially the office manager.",3,3,"Jim Weddle","Managing Partner",652,92,8
"33",701406,"First Niagara Bank","www.firstniagara.com",FALSE,FALSE,"Investment Banking & Asset Management",44,"https://media.glassdoor.com/sqll/701406/first-niagara-bank-squarelogo-1416640993678.png",2.6,"OK","2.3","2.0","3.1","2.4","3.2","0.3",5821955,TRUE,"2015-01-31 11:24:36.853","Audit","Buffalo, NY","Audit","Audit","The work atmosphere is very pleasant, and they practice an open door policy there.","The pay is low and they don't have very good health, dental, or vision benefits.",3,3,"Gary Crosby","Interim President & CEO",19,35,65
"34",148190,"NorthPoint Solutions","www.northps.com",FALSE,FALSE,"Computer Hardware & Software",17,"https://media.glassdoor.com/sqll/148190/northpoint-solutions-squarelogo-1418920708018.png",4.3,"Very Satisfied","3.8","3.9","4.1","3.8","4.4","1.0",5484702,TRUE,"2014-12-04 19:34:32.78","Senior Consultant","New York, NY","Senior Consultant","One of the most pleasant experiences that I've had as a software developer, the people in the company are simply 5/5.","- Many different and interesting projects.
- Extremely talented team members.
- Competitive salaries.","Clients will always be clients, no matter the consulting company.",5,5,"Jeffrey Penner","Managing Partner",0,0,100
"35",792,"Ambac","www.ambac.com",FALSE,FALSE,"Insurance Carriers",13,"https://media.glassdoor.com/sqll/792/ambac-squarelogo-1412278122140.png",2.2,"Dissatisfied","2.0","2.1","2.5","1.9","3.3","0.2",3877327,FALSE,"2014-03-15 18:06:42.963","Insurance","New York, NY","Insurance","Company lost its AAA rating during the financial crisis and has no product.","Some of the people there are really smart and dedicated. One gets to move around from one business unit and department to the next in a short time thus gaining broad experience.","There is no connection between daily work and a strategic goal. It's like working in a mechanic's shop: fix what breaks and move on to the next one.",3,3,"Diana Adams","President, CEO, and Director; Director, Ambac Assurance",3,32,68
"36",388861,"Stifel Financial","www.stifel.com",FALSE,FALSE,"Investment Banking & Asset Management",94,"https://media.glassdoor.com/sqll/388861/stifel-nicolaus-and-co-squarelogo-1378915587530.png",3.4,"OK","3.5","3.3","2.7","3.1","3.7","0.6",4727131,FALSE,"2014-08-06 09:02:25.1","Intern","Garden City, NY","Intern","Great place to intern & learn!","-friendliest staff I have EVER worked with
-very relaxed schedule and assignments/projects
-variety in work
-treated like an employee
-great learning experience - informative way to find out if the retail side of the financial industry is right for you!","-sometimes uneventful - there are days when there is not much work involved and an intern must be proactive in finding new assignments or entertain themselves",5,5,"Ronald J. Kruszewski","Chairman, President, & CEO",25,67,33
"37",599095,"Flushing Bank","www.flushingbank.com",FALSE,FALSE,"Banks & Credit Unions",17,"https://media.glassdoor.com/sqll/599095/flushing-bank-squarelogo-1423821455067.png",2.1,"Dissatisfied","2.0","1.6","1.8","1.6","2.5","0.1",5629351,TRUE,"2015-01-04 14:12:39.013","Employee","Flushing, NY",NA,"Small regional bank that is a great place to start, but has substandard pay / advancement opportunities.","Workers and middle management are 100% friendly, hardworking people.
Great opportunity for entry-level workers to gain experience and skills.
Good hours. Occasionally called upon to work 45-50 hrs. For the most part by far, it's 9-5.","Shockingly few opportunities for advancement. Most people hired tend to stay exactly where they are, with minimal pay increase / benefits, except for those who start at or near the top of the hierarchy (to be expected at any bank, I suppose. Flushing takes it to a new level).

Below-average pay and benefits for the industry in this area of country.

Unbelievably poor software / data infrastructure. I can't say how many times I've told customers / coworkers to ""wait while the system loads"". It's very embarrassing. 

Workload is very high, and management refuses to hire new people / upgrade software to cope.",3,3,"John Buran","Chief Executive Officer",6,20,80
"38",229978,"Polaris FT","www.polarisft.com",FALSE,FALSE,"Computer Hardware & Software",407,"https://media.glassdoor.com/sqll/229978/polaris-software-lab-squarelogo.png",2.9,"OK","2.6","2.4","2.5","2.9","2.8","0.7",5510856,FALSE,"2014-12-09 18:37:36.3","Senior Project Lead","New York, NY","Senior Project Lead","Project Leader","Great work place for learning Banking and Technology","Focus on diversified industries like Retail, Healthcare, Technology Companies and Manufacturing",4,4,"Arun Jain","Chairman and CEO",215,72,28
"39",199620,"People's United Bank","www.peoples.com",FALSE,FALSE,"Investment Banking & Asset Management",138,"https://media.glassdoor.com/sqll/199620/peoples-united-bank-squarelogo-1378818239963.png",3,"OK","3.2","2.9","3.0","3.0","3.1","0.6",4244484,TRUE,"2014-05-18 08:52:36.55","Customer Service Manager","Newburgh, NY","Customer Service Manager","Customer Service Employee, of Peoples United Bank","They are closed on holidays. And opened 7 days a week.","not a very good palace to work. Long hours and little pay. The pay is extremely low and its very hard to even get a raise.",1,1,"John P. (Jack) Barnes","President & CEO",63,74,26
"40",33157,"EverBank Financial","www.everbank.com",FALSE,FALSE,"Lending",89,"https://media.glassdoor.com/sqll/33157/everbank-financial-squarelogo.png",3.1,"OK","3.1","2.6","3.3","2.6","3.1","0.6",5963260,TRUE,"2015-02-20 17:50:09.363","Client Services","Islandia, NY","Client Services","Good if you just want to sit and do monkey work.","Stable work environment.....however soul crushing it may be those gray cubical walls are stable.","No raises, limited upward mobility unless you are a relative of someone. Limited training and or knowledge growth due to work load of department is so heavy because of the high department turnover. Unprofessional, amateur management.",1,1,"Robert M. Clements","Chairman and CEO",54,84,16
"41",6351,"Sumitomo Mitsui","www.smfg.co.jp",FALSE,FALSE,"Banks & Credit Unions",16,"https://media.glassdoor.com/sqll/6351/sumitomo-mitsui-squarelogo-1384732677405.png",2.1,"Dissatisfied","0.0","0.0","0.0","0.0","0.0","0.0",475890,FALSE,"2010-04-24 15:29:13.69","","New York, NY","","Inappropriate and Disrespectful Exit Immediately. Just leave now, you are no longer needed.","To be employed and get out. More Japanese than Americans. Know it or you can be an outsider. Be there at exactly on the dot, and if you come up a minute later, you are considered late mark on your performance review. Leave work exactly at 5pm on the clock, no exceptions or your supervisor will yell at you for not being a team player! Move you from convenient Midtown Manhattan office location to JC, NJ to inconvenient your commute and then, laid you off later. Nice and organized annual health fair, it's fair. Standard job salary, benefits, and performance bonuses if you suck up to your boss.","Shut my mouth when it’s time

Open it… when it’s time

If I want a promotion, do that job without the title and the pay check. They will have to give it to you at one point. 

Lower my expectations (in term of numbers or delays)

Deliver the maximum (and get a huge achievement bonus!)

Makes allies in every department, it’s always useful! Because your manager will get you with this in your performance review (poor communication is bad) if you don't socialize and make friends to other department people. She deemed it is important. You can't be yourself and pretend that you like them.",3,3,"Koichi Miyata","President",4,50,50
"42",240757,"Emax Financial & Real Estate Advisory, LLC","www.emaxllc.com",FALSE,FALSE,"Investment Banking & Asset Management",7,"https://media.glassdoor.com/sqll/240757/emax-financial-and-real-estate-advisory-llc-squarelogo-1425042166498.png",4.6,"Very Satisfied","0.0","0.0","0.0","0.0","0.0","0.0",3666373,FALSE,"2014-02-08 14:16:45.5","Manager","New York, NY","Manager","Challenging, Rewarding, Supportive, and Educational Work Environment!","I started with Emax shortly after college and was there for 3+ years until I went to grad school. Being a small company, I was forced to take on different roles, which included direct client interaction from day 1, as well as project management for large contracts and work.  The CEO and the leadership team provided a learning and supportive environment to ask questions, while at the same time, encouraging me to take ownership of my work.  Overall, I look back very positively on my experience at Emax and the skills I took away have allowed me to succeed in all my professional endeavors.","Small environment, so you need to be flexible and willing to take on a variety of tasks. Not for people who want to do the same, routine work on a daily basis.",5,5,"Audrey McGuire","President",6,100,0
"43",4611,"Financial Times","www.ft.com",FALSE,FALSE,"Publishing",66,"https://media.glassdoor.com/sqll/4611/financial-times-squarelogo.png",3.5,"Satisfied","0.0","0.0","0.0","0.0","0.0","0.0",5360837,TRUE,"2014-11-11 12:51:11.497","Product Manager","New York, NY","Product Manager","The FT is a great place to work","Very helpful, and entrepreneurial","Lack of proper leadership in non London locations",4,4,"John Ridding","CEO",29,67,33
"44",13322,"Mitsubishi UFJ Financial Group","www.mufg.jp",FALSE,FALSE,"Banks & Credit Unions",16,"https://media.glassdoor.com/sqll/13322/mitsubishi-ufj-financial-group-squarelogo.png",2.7,"OK","2.9","2.4","3.1","2.3","3.5","0.4",5869386,TRUE,"2015-02-07 07:55:12.083","Business Development","New York, NY","Business Development","Business Development","One of the largest financial groups. Good product coverage and strong financial strength.","Gets quite messy at the senior levels with a lot of politics.",3,3,"Katsunori Nagayasu","President, CEO, and Representative Director",5,55,45
